date,CPI_inflation_rate,epu,log_epu,gprc_bra
2003-01-01,14.46698279,88.15092,1.945226849,0.1
2003-02-01,15.84729635,120.281,2.08019703,0.08
2003-03-01,16.57307799,133.6887,2.1260947,0.04
2003-04-01,16.76939919,96.79193,1.98583915,0.08
2003-05-01,17.23584936,85.23053,1.930595189,0.05
2003-06-01,16.57056194,56.87833,1.754946837,0.05
2003-07-01,15.42979404,89.61538,1.952382551,0.06
2003-08-01,15.07445409,136.3225,2.134567542,0.06
2003-09-01,15.14329896,54.87196,1.739350473,0.04
2003-10-01,13.9836845,125.5423,2.098790081,0.04
2003-11-01,11.01845502,223.9584,2.350167356,0.04
2003-12-01,9.3005128,84.59812,1.927360712,0.05
2004-01-01,7.707318476,134.2073,2.127776139,0.1
2004-02-01,6.688915848,255.6014,2.407563228,0.05
2004-03-01,5.887646946,89.18523,1.950292937,0.05
2004-04-01,5.258418041,110.4619,2.043212509,0.07
2004-05-01,5.153546018,125.354,2.098138197,0.06
2004-06-01,6.059129379,136.0568,2.133720252,0.05
2004-07-01,6.810486424,52.627,1.721208614,0.04
2004-08-01,7.182931792,61.80542,1.791026562,0.06
2004-09-01,6.704475851,103.2236,2.013779001,0.07
2004-10-01,6.864244223,137.255,2.137528174,0.07
2004-11-01,7.23683024,138.594,2.141744429,0.07
2004-12-01,7.599495849,46.2579,1.665185913,0.07
2005-01-01,7.407308485,120.5707,2.081241782,0.06
2005-02-01,7.386300788,96.10477,1.982744944,0.03
2005-03-01,7.535836177,133.3112,2.124866638,0.07
2005-04-01,8.071430138,118.1485,2.072428212,0.04
2005-05-01,8.050131615,136.5408,2.135262443,0.06
2005-06-01,7.266918939,136.4425,2.134949668,0.04
2005-07-01,6.565665243,88.54128,1.947145796,0.15
2005-08-01,6.015579673,155.4833,2.19168375,0.12
2005-09-01,6.036601441,90.69684,1.957592156,0.05
2005-10-01,6.363640212,61.16956,1.786535357,0.02
2005-11-01,6.215760552,152.5983,2.183549695,0.05
2005-12-01,5.689226819,153.8856,2.187197982,0.05
2006-01-01,5.699945707,140.0522,2.146289935,0.05
2006-02-01,5.510759887,41.44295,1.617450662,0.03
2006-03-01,5.322150647,126.2055,2.101078282,0.05
2006-04-01,4.633167012,80.2667,1.904535408,0.04
2006-05-01,4.227167317,95.0802,1.978090087,0.07
2006-06-01,4.029207817,142.3168,2.15325617,0.07
2006-07-01,3.966753599,75.04366,1.875314007,0.05
2006-08-01,3.84211437,82.94757,1.918803668,0.05
2006-09-01,3.697183805,101.0407,2.004496346,0.05
2006-10-01,3.264888616,113.525,2.055091511,0.06
2006-11-01,3.018236083,84.58386,1.9272875,0.03
2006-12-01,3.141516132,78.50812,1.894914578,0.04
2007-01-01,2.987813485,149.8408,2.175630083,0.03
2007-02-01,3.018564366,91.71241,1.962428106,0.03
2007-03-01,2.957038373,86.28601,1.935940387,0.05
2007-04-01,2.998180217,105.503,2.023264809,0.02
2007-05-01,3.183180157,97.57684,1.989346749,0.03
2007-06-01,3.689806129,84.20055,1.925314928,0.04
2007-07-01,3.741741881,55.86047,1.747104585,0.04
2007-08-01,4.177371666,181.6736,2.259291822,0.03
2007-09-01,4.146187727,127.3589,2.105029299,0.02
2007-10-01,4.115212062,81.97171,1.913663995,0.07
2007-11-01,4.187799705,111.0058,2.045345671,0.03
2007-12-01,4.457658553,189.9763,2.278699425,0.04
2008-01-01,4.561479654,224.3992,2.351021304,0.06
2008-02-01,4.613512653,175.408,2.244049397,0.02
2008-03-01,4.728310951,151.2964,2.179828594,0.06
2008-04-01,5.041627425,123.3203,2.091034573,0.02
2008-05-01,5.576029422,76.77791,1.885236286,0.04
2008-06-01,6.060583356,82.63455,1.917161666,0.05
2008-07-01,6.367091588,58.23662,1.765196161,0.05
2008-08-01,6.165817949,109.4387,2.039170926,0.04
2008-09-01,6.25053375,261.7321,2.41785699,0.07
2008-10-01,6.409530261,303.3008,2.481873556,0.03
2008-11-01,6.388596928,201.2302,2.303693159,0.05
2008-12-01,5.902724391,320.6887,2.506083657,0.03
2009-01-01,5.839344298,123.7626,2.092589424,0.01
2009-02-01,5.902537475,240.2148,2.380599761,0.02
2009-03-01,5.607122766,206.9263,2.315815692,0.02
2009-04-01,5.533778283,142.1279,2.152679339,0.04
2009-05-01,5.198622241,163.9434,2.214693938,0.01
2009-06-01,4.801565436,125.3882,2.098256668,0.07
2009-07-01,4.499395677,158.0436,2.198776914,0.03
2009-08-01,4.363851682,97.79082,1.990298088,0.03
2009-09-01,4.343100767,109.654,2.040024479,0.05
2009-10-01,4.16639125,49.11081,1.691177097,0.06
2009-11-01,4.21834594,82.64693,1.917226726,0.1
2009-12-01,4.311650063,77.75521,1.890729499,0.06
2010-01-01,4.592085979,165.1578,2.217899089,0.06
2010-02-01,4.831099691,196.0115,2.292281552,0.06
2010-03-01,5.16600252,105.3701,2.022717392,0.1
2010-04-01,5.260260379,55.74076,1.746172886,0.09
2010-05-01,5.21840309,110.4772,2.043272659,0.23
2010-06-01,4.841090627,52.25697,1.718144225,0.18
2010-07-01,4.600533921,70.36706,1.847369406,0.05
2010-08-01,4.485543932,84.71241,1.927947037,0.06
2010-09-01,4.704219597,84.33954,1.926031228,0.05
2010-10-01,5.195061102,22.29631,1.348232994,0.03
2010-11-01,5.634847512,88.01173,1.944540558,0.06
2010-12-01,5.908688722,78.57729,1.895297047,0.07
2011-01-01,5.99298735,26.86302,1.429154835,0.07
2011-02-01,6.014171342,111.6055,2.047685597,0.04
2011-03-01,6.298987616,173.9181,2.240344782,0.11
2011-04-01,6.510256924,170.5838,2.231937785,0.04
2011-05-01,6.552781653,79.12103,1.898291932,0.02
2011-06-01,6.712550711,107.7116,2.032262477,0.05
2011-07-01,6.872599283,123.5937,2.091996334,0.03
2011-08-01,7.225226441,205.8374,2.313524288,0.06
2011-09-01,7.31090206,190.2133,2.27924088,0.07
2011-10-01,6.970099119,116.6125,2.066745106,0.06
2011-11-01,6.641308866,146.2586,2.165121412,0.04
2011-12-01,6.503352744,154.2997,2.188365082,0.06
2012-01-01,6.217997654,130.606,2.115963129,0.05
2012-02-01,5.849085647,96.60445,1.984997132,0.01
2012-03-01,5.239991936,175.3642,2.243940938,0.05
2012-04-01,5.104165719,66.50651,1.822864158,0.05
2012-05-01,4.988867368,156.2057,2.193696877,0.03
2012-06-01,4.915425284,176.1162,2.245799306,0.03
2012-07-01,5.198414369,141.0109,2.149252684,0.03
2012-08-01,5.240384039,99.7426,1.998880685,0.01
2012-09-01,5.282203377,85.04139,1.92963035,0.02
2012-10-01,5.449829044,104.0494,2.01723958,0.01
2012-11-01,5.533837251,102.3489,2.010083179,0.02
2012-12-01,5.838594718,76.76617,1.885169873,0.04
2013-01-01,6.154336083,164.3462,2.215759667,0.01
2013-02-01,6.312914644,69.93822,1.844714575,0.02
2013-03-01,6.588765923,205.7545,2.313349342,0.02
2013-04-01,6.493513984,130.4968,2.115599862,0.01
2013-05-01,6.504135129,145.1582,2.161841574,0.04
2013-06-01,6.695915836,131.4641,2.118807173,0.03
2013-07-01,6.270692169,162.3981,2.210580944,0.04
2013-08-01,6.090762064,187.289,2.272512271,0.04
2013-09-01,5.858620748,126.5808,2.102367836,0.06
2013-10-01,5.837484872,108.8033,2.036642068,0.04
2013-11-01,5.774406724,106.0887,2.025669128,0.06
2013-12-01,5.910683255,116.3469,2.065754816,0.04
2014-01-01,5.585065393,136.6474,2.135601373,0.02
2014-02-01,5.679517624,170.0154,2.230488262,0.02
2014-03-01,6.152891009,251.1716,2.399970532,0.1
2014-04-01,6.279552188,150.5236,2.177604597,0.02
2014-05-01,6.37485565,97.17091,1.98753627,0.04
2014-06-01,6.523283601,76.95015,1.886209471,0.04
2014-07-01,6.502234311,114.6072,2.059211902,0.08
2014-08-01,6.512969847,168.4329,2.226426926,0.06
2014-09-01,6.746474315,198.7193,2.298240049,0.04
2014-10-01,6.58724038,91.75434,1.962626616,0.02
2014-11-01,6.555291342,142.0147,2.152333301,0.02
2014-12-01,6.407470796,185.6092,2.268599499,0.02
2015-01-01,7.137736975,193.9934,2.287786955,0.03
2015-02-01,7.701587433,302.9389,2.481355044,0.02
2015-03-01,8.128504661,317.2683,2.501426682,0.02
2015-04-01,8.171486814,211.5163,2.325343841,0.05
2015-05-01,8.472942639,146.3652,2.165437831,0.02
2015-06-01,8.89442996,101.2318,2.005316959,0.02
2015-07-01,9.558392612,182.9709,2.262382024,0.05
2015-08-01,9.52547737,291.7728,2.465044803,0.02
2015-09-01,9.492789208,457.0997,2.660010936,0.03
2015-10-01,9.928892216,297.0511,2.472831165,0.03
2015-11-01,10.47576729,164.9832,2.217439723,0.05
2015-12-01,10.67302813,330.6095,2.519315329,0.09
2016-01-01,10.70580507,306.6892,2.486698483,0.11
2016-02-01,10.35588437,224.2445,2.3507218,0.01
2016-03-01,9.386372371,420.9589,2.624239696,0.09
2016-04-01,9.277794398,473.5259,2.675343738,0.04
2016-05-01,9.32118973,221.3033,2.34498789,0.05
2016-06-01,8.843747318,294.4795,2.469055067,0.01
2016-07-01,8.735771055,326.6338,2.514061123,0.04
2016-08-01,8.974497602,251.6847,2.400856815,0.02
2016-09-01,8.475968623,250.0246,2.397982741,0.02
2016-10-01,7.873670831,149.3662,2.174252332,0.03
2016-11-01,6.987383298,365.7531,2.563188016,0.03
2016-12-01,6.287988213,422.5248,2.625852205,0.05
2017-01-01,5.354015072,330.9285,2.519734171,0.07
2017-02-01,4.758907296,371.6051,2.570081666,0.02
2017-03-01,4.571105116,676.955,2.8305598,0.01
2017-04-01,4.082516895,550.1686,2.7404958,0.05
2017-05-01,3.597256178,407.8593,2.61051037,0.03
2017-06-01,2.998556992,230.97,2.363555574,0.03
2017-07-01,2.711625767,267.1994,2.426835479,0.02
2017-08-01,2.455908494,309.6709,2.490900396,0.06
2017-09-01,2.537690933,326.515,2.513903137,0.08
2017-10-01,2.701320889,190.5667,2.280047013,0.03
2017-11-01,2.803785425,279.87,2.446956348,0.03
2017-12-01,2.94742132,215.572,2.333592351,0.04
2018-01-01,2.855116451,165.005,2.217497104,0.05
2018-02-01,2.844893725,68.46358,1.835459605,0.04
2018-03-01,2.680802789,101.2053,2.005203257,0.11
2018-04-01,2.762797094,152.2509,2.182559869,0.04
2018-05-01,2.855013307,179.8089,2.254811184,0.05
2018-06-01,4.391103974,152.1932,2.182395249,0.11
2018-07-01,4.48484373,182.8765,2.262157901,0.06
2018-08-01,4.193015967,129.4791,2.112199672,0.08
2018-09-01,4.525976016,130.2354,2.114729048,0.04
2018-10-01,4.557029449,260.1669,2.415252042,0.06
2018-11-01,4.046031396,177.467,2.249117608,0.04
2018-12-01,3.74558117,281.9073,2.450106322,0.01
2019-01-01,3.776527566,127.0686,2.104038245,0.18
2019-02-01,3.890225412,154.8355,2.189870541,0.21
2019-03-01,4.575283531,158.1298,2.199013722,0.11
2019-04-01,4.940505941,164.6699,2.216614222,0.03
2019-05-01,4.658258543,184.267,2.265447565,0.11
2019-06-01,3.366267152,146.9916,2.167292517,0.03
2019-07-01,3.222020466,79.83704,1.902204427,0.03
2019-08-01,3.428615501,161.1781,2.207306032,0.13
2019-09-01,2.893424893,187.5531,2.273124247,0.04
2019-10-01,2.535028577,178.1994,2.250906237,0.13
2019-11-01,3.274906391,171.0524,2.233129172,0.09